age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	y	Arguments
24	Private	247564	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K	
47	Private	241832	9th	5	Married-spouse-absent	Handlers-cleaners	Unmarried	White	Male	0	0	40	El-Salvador	<=50K	
43	Private	154374	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	15024	0	60	United-States	>50K	
30	Private	189620	Bachelors	13	Never-married	Prof-specialty	Own-child	White	Female	0	0	40	Poland	<=50K	
28	Private	296450	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	<=50K	
42	Private	169628	Some-college	10	Divorced	Adm-clerical	Not-in-family	Black	Female	0	0	38	United-States	<=50K	
42	Private	176286	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K	
39	Self-emp-inc	329980	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	50	United-States	>50K	
66	Private	271567	HS-grad	9	Separated	Machine-op-inspct	Not-in-family	Black	Male	0	0	40	United-States	<=50K	
54	Self-emp-not-inc	123011	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	15024	0	52	United-States	>50K	
33	Private	26973	Assoc-voc	11	Married-civ-spouse	Tech-support	Wife	White	Female	0	0	40	United-States	>50K	
48	Private	207848	10th	6	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	<=50K	
33	Private	35378	Bachelors	13	Married-civ-spouse	Sales	Wife	White	Female	0	0	45	United-States	>50K	
41	Private	227644	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	50	United-States	<=50K	
20	Private	411862	Assoc-voc	11	Never-married	Other-service	Not-in-family	White	Male	0	0	30	United-States	<=50K	
38	Private	22245	Masters	14	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	72	?	>50K	
41	Private	265266	Assoc-acdm	12	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	40	United-States	<=50K	
61	Self-emp-not-inc	30073	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	1848	60	United-States	>50K	
39	Private	24342	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K	
41	Private	421871	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	Black	Male	0	0	40	United-States	>50K	
21	Private	57711	HS-grad	9	Never-married	Other-service	Not-in-family	White	Female	0	0	30	United-States	<=50K	
59	Private	183606	11th	7	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K	
37	Local-gov	118909	HS-grad	9	Divorced	Adm-clerical	Unmarried	Black	Female	0	0	35	United-States	<=50K	
65	Without-pay	27012	7th-8th	4	Widowed	Farming-fishing	Unmarried	White	Female	0	0	50	United-States	<=50K	
46	Private	243190	HS-grad	9	Married-civ-spouse	Adm-clerical	Wife	White	Female	7688	0	40	United-States	>50K	
48	Self-emp-not-inc	104790	11th	7	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	50	United-States	>50K	
36	Private	24106	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	3103	0	40	United-States	>50K	
32	Private	211699	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	1485	40	United-States	>50K	
59	Local-gov	120617	HS-grad	9	Separated	Protective-serv	Unmarried	Black	Female	0	0	40	United-States	<=50K	
47	?	331650	HS-grad	9	Married-civ-spouse	?	Wife	White	Female	0	0	8	United-States	>50K	
41	Private	222142	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K	
27	Private	359155	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	40	United-States	>50K	
31	Private	165148	HS-grad	9	Separated	Exec-managerial	Unmarried	White	Female	0	0	12	United-States	<=50K	
30	Private	270577	HS-grad	9	Separated	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K	
32	Local-gov	222900	Bachelors	13	Separated	Prof-specialty	Not-in-family	White	Female	0	0	50	United-States	>50K	
25	Private	157900	Some-college	10	Separated	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K	
32	Private	235124	Assoc-voc	11	Divorced	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K	
36	Private	116358	Masters	14	Married-civ-spouse	Exec-managerial	Husband	Asian-Pac-Islander	Male	0	0	40	Taiwan	>50K	
55	Private	67450	Doctorate	16	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	40	England	<=50K	
25	Private	302465	12th	8	Never-married	Machine-op-inspct	Not-in-family	White	Male	0	1741	40	United-States	<=50K	
31	Private	100997	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	Amer-Indian-Eskimo	Male	0	0	40	United-States	<=50K	
41	Private	195897	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	<=50K	
29	Private	490332	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	45	United-States	>50K	
43	Private	57600	Doctorate	16	Married-spouse-absent	Prof-specialty	Not-in-family	White	Female	0	0	40	?	<=50K	
23	Private	334357	HS-grad	9	Never-married	Adm-clerical	Own-child	Black	Female	0	0	40	United-States	<=50K	
43	Private	96102	Masters	14	Married-spouse-absent	Exec-managerial	Not-in-family	White	Male	0	0	50	United-States	<=50K	
18	Private	57413	Some-college	10	Divorced	Other-service	Own-child	White	Male	0	0	15	United-States	<=50K	
32	Private	185410	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K	
54	Private	96710	HS-grad	9	Married-civ-spouse	Priv-house-serv	Other-relative	Black	Female	0	0	20	United-States	<=50K	
80	Self-emp-not-inc	184335	7th-8th	4	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	30	United-States	<=50K	
34	Private	171159	Some-college	10	Divorced	Adm-clerical	Unmarried	White	Female	0	0	30	United-States	<=50K	
41	Private	443508	Bachelors	13	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	48	Canada	>50K	
27	State-gov	194773	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	50	Germany	<=50K	
44	Self-emp-inc	133060	Some-college	10	Divorced	Machine-op-inspct	Not-in-family	White	Male	0	0	60	United-States	<=50K	
35	Private	25955	11th	7	Never-married	Other-service	Unmarried	Amer-Indian-Eskimo	Male	0	0	40	United-States	<=50K	
19	Federal-gov	30559	HS-grad	9	Married-AF-spouse	Sales	Wife	White	Female	0	0	40	United-States	<=50K	
29	Local-gov	123983	Masters	14	Never-married	Prof-specialty	Own-child	Asian-Pac-Islander	Male	0	0	40	Taiwan	<=50K	
81	Private	114670	9th	5	Widowed	Priv-house-serv	Not-in-family	Black	Female	2062	0	5	United-States	<=50K	
75	Private	200068	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	35	United-States	>50K	
22	?	35448	HS-grad	9	Married-civ-spouse	?	Wife	White	Female	0	0	22	United-States	<=50K	
69	Local-gov	122850	10th	6	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	20	United-States	<=50K	
20	Private	283499	Some-college	10	Never-married	Transport-moving	Own-child	White	Male	0	0	30	United-States	<=50K	
27	Private	301654	HS-grad	9	Never-married	Exec-managerial	Own-child	White	Female	0	0	40	United-States	<=50K	
33	Private	220939	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	7298	0	45	United-States	>50K	
59	Private	374924	HS-grad	9	Separated	Sales	Unmarried	Black	Female	0	0	40	United-States	<=50K	
45	Local-gov	160472	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1977	50	United-States	>50K	
32	?	53042	HS-grad	9	Never-married	?	Own-child	Black	Male	0	0	40	United-States	<=50K	
36	Self-emp-not-inc	367020	7th-8th	4	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	35	United-States	<=50K	
30	Private	91145	HS-grad	9	Never-married	Handlers-cleaners	Unmarried	White	Male	0	0	55	United-States	<=50K	
45	Private	183168	Bachelors	13	Divorced	Exec-managerial	Unmarried	White	Female	0	0	40	United-States	<=50K	
33	Private	83446	11th	7	Divorced	Exec-managerial	Unmarried	White	Female	0	0	40	United-States	>50K	
53	Private	374588	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	Black	Male	0	0	60	United-States	<=50K	
31	Private	197023	Assoc-voc	11	Married-civ-spouse	Machine-op-inspct	Husband	Amer-Indian-Eskimo	Male	0	0	40	United-States	<=50K	
47	Private	229737	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	45	United-States	>50K	
29	Private	151476	Some-college	10	Separated	Sales	Not-in-family	White	Female	0	0	40	United-States	<=50K	
47	Self-emp-inc	214169	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	15024	0	40	United-States	>50K	
35	Private	236910	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	<=50K	
34	Private	30497	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	60	United-States	>50K	
38	Private	270985	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	Black	Male	0	0	50	United-States	<=50K	
36	Private	160120	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	Asian-Pac-Islander	Male	0	0	40	Vietnam	<=50K	
52	Private	101752	Assoc-voc	11	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	56	United-States	<=50K	
51	Private	237729	Some-college	10	Divorced	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K	
24	Private	123983	11th	7	Married-civ-spouse	Transport-moving	Husband	Asian-Pac-Islander	Male	0	0	40	Vietnam	<=50K	
51	Private	254230	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K	
28	Private	157391	Bachelors	13	Never-married	Sales	Own-child	White	Female	0	0	40	United-States	<=50K	
35	Private	87556	HS-grad	9	Divorced	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K	
52	Private	202956	7th-8th	4	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K	
46	Private	95636	Some-college	10	Divorced	Handlers-cleaners	Not-in-family	White	Male	0	0	45	United-States	<=50K	
52	Private	114062	HS-grad	9	Divorced	Craft-repair	Unmarried	White	Female	0	0	40	United-States	<=50K	
18	Private	129010	12th	8	Never-married	Craft-repair	Own-child	White	Male	0	0	10	United-States	<=50K	
54	?	187221	7th-8th	4	Never-married	?	Not-in-family	White	Female	0	0	25	United-States	<=50K	
20	Private	138768	HS-grad	9	Never-married	Handlers-cleaners	Own-child	White	Male	0	0	40	United-States	<=50K	
43	Private	243476	HS-grad	9	Divorced	Tech-support	Not-in-family	White	Female	0	0	40	United-States	<=50K	
27	Self-emp-not-inc	37302	Assoc-acdm	12	Married-civ-spouse	Transport-moving	Husband	White	Male	7688	0	70	United-States	>50K	
51	Local-gov	240358	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	40	United-States	>50K	
40	Private	20109	Some-college	10	Divorced	Handlers-cleaners	Not-in-family	Amer-Indian-Eskimo	Female	0	0	84	United-States	<=50K	
48	Self-emp-not-inc	133694	Bachelors	13	Married-spouse-absent	Exec-managerial	Not-in-family	Black	Male	0	0	40	Jamaica	>50K	
53	Private	88842	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	99999	0	40	United-States	>50K	
45	Private	123681	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	>50K	
27	Private	109165	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	60	United-States	<=50K	
40	Self-emp-not-inc	242082	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	>50K	
67	State-gov	423561	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K	
33	Private	191856	Some-college	10	Divorced	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K	
22	Private	237498	HS-grad	9	Never-married	Other-service	Own-child	White	Male	0	0	40	United-States	<=50K	
47	Private	121958	7th-8th	4	Married-spouse-absent	Other-service	Unmarried	White	Female	0	0	30	United-States	<=50K	
35	Private	182467	Assoc-voc	11	Married-civ-spouse	Craft-repair	Wife	White	Female	0	0	44	United-States	<=50K	
39	Private	245361	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	25	United-States	<=50K	
30	Private	112115	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	60	Ireland	>50K	
40	Federal-gov	298635	Masters	14	Married-civ-spouse	Tech-support	Husband	Asian-Pac-Islander	Male	0	1902	40	Philippines	>50K	
50	?	22428	Masters	14	Never-married	?	Not-in-family	White	Male	0	0	40	United-States	<=50K	
20	Private	275190	HS-grad	9	Never-married	Adm-clerical	Own-child	White	Female	0	0	40	United-States	<=50K	
41	Local-gov	88904	Bachelors	13	Separated	Prof-specialty	Unmarried	Black	Female	0	0	40	United-States	<=50K	
35	Private	193026	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	45	United-States	>50K	
28	State-gov	286310	HS-grad	9	Married-civ-spouse	Adm-clerical	Own-child	White	Female	0	0	40	United-States	<=50K	
65	Local-gov	205024	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	0	0	8	United-States	<=50K	
19	Private	29250	Some-college	10	Never-married	Prof-specialty	Own-child	White	Male	0	0	10	United-States	<=50K	
22	Private	216181	11th	7	Never-married	Craft-repair	Own-child	White	Male	0	0	45	United-States	<=50K	
33	Self-emp-not-inc	295591	1st-4th	2	Married-spouse-absent	Craft-repair	Not-in-family	White	Male	0	0	40	Mexico	<=50K	
41	Private	279297	HS-grad	9	Never-married	Sales	Not-in-family	Black	Female	0	0	60	United-States	<=50K	
26	Private	192506	Bachelors	13	Never-married	Other-service	Not-in-family	Black	Female	0	0	35	United-States	<=50K	
32	?	134886	HS-grad	9	Married-civ-spouse	?	Wife	White	Female	0	0	2	United-States	>50K	
30	Local-gov	154935	Assoc-acdm	12	Never-married	Protective-serv	Not-in-family	Black	Male	0	0	40	United-States	<=50K	
35	?	253860	HS-grad	9	Divorced	?	Unmarried	White	Female	0	0	20	United-States	<=50K	
20	Private	203003	HS-grad	9	Never-married	Transport-moving	Other-relative	White	Male	0	0	40	United-States	<=50K	
90	Private	141758	9th	5	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K	
49	Private	204057	Assoc-acdm	12	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K	
31	Private	202822	Some-college	10	Divorced	Adm-clerical	Unmarried	Black	Female	0	0	40	United-States	<=50K	
19	Private	571853	HS-grad	9	Never-married	Other-service	Own-child	White	Male	0	0	30	United-States	<=50K	
26	Local-gov	197530	Masters	14	Married-spouse-absent	Prof-specialty	Not-in-family	White	Female	0	0	40	United-States	<=50K	
33	State-gov	913447	Some-college	10	Divorced	Other-service	Unmarried	Black	Female	0	0	40	United-States	<=50K	
35	Private	48123	12th	8	Married-civ-spouse	Craft-repair	Wife	White	Female	0	0	50	United-States	<=50K	
33	Local-gov	198183	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	50	United-States	>50K	
62	?	235521	HS-grad	9	Married-civ-spouse	?	Husband	White	Male	0	0	48	United-States	<=50K	
34	State-gov	595000	Masters	14	Married-civ-spouse	Prof-specialty	Wife	Black	Female	0	0	40	United-States	>50K	
55	Private	81865	Assoc-voc	11	Divorced	Adm-clerical	Unmarried	Black	Female	0	0	40	United-States	<=50K	
32	Self-emp-not-inc	173314	Assoc-voc	11	Married-civ-spouse	Prof-specialty	Husband	Other	Male	0	0	60	United-States	<=50K	
38	Private	256864	HS-grad	9	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	50	United-States	>50K	
53	Local-gov	228723	HS-grad	9	Divorced	Craft-repair	Not-in-family	Other	Male	0	0	40	?	>50K	
19	Private	129620	10th	6	Never-married	Other-service	Other-relative	White	Female	0	0	30	United-States	<=50K	
47	Private	176140	HS-grad	9	Divorced	Exec-managerial	Unmarried	Black	Female	0	0	40	United-States	>50K	
33	Private	292465	9th	5	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	50	United-States	<=50K	
27	?	224421	Some-college	10	Divorced	?	Own-child	White	Male	0	0	40	United-States	<=50K	
19	Private	391329	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	30	United-States	<=50K	
22	Private	117210	Some-college	10	Never-married	Adm-clerical	Own-child	White	Male	0	0	25	Greece	<=50K	
24	Private	301199	Some-college	10	Never-married	Tech-support	Own-child	White	Female	0	0	20	United-States	<=50K	
59	Private	359292	1st-4th	2	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	Mexico	<=50K	
29	Private	83003	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	0	0	40	United-States	<=50K	
26	Private	150361	Some-college	10	Never-married	Tech-support	Own-child	White	Female	0	0	40	United-States	<=50K	
33	Federal-gov	339388	Assoc-acdm	12	Divorced	Other-service	Unmarried	White	Male	0	0	40	United-States	<=50K	
43	Private	83827	HS-grad	9	Divorced	Machine-op-inspct	Not-in-family	White	Female	0	0	24	United-States	<=50K	
26	Private	236242	Prof-school	15	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	30	United-States	<=50K	
44	Private	45093	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	70	United-States	<=50K	
58	Self-emp-not-inc	204816	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	>50K	
20	Private	308239	Some-college	10	Never-married	Other-service	Own-child	White	Male	0	0	16	United-States	<=50K	
39	Self-emp-inc	186934	Bachelors	13	Married-spouse-absent	Sales	Not-in-family	White	Male	0	0	40	United-States	<=50K	
33	Private	176711	Assoc-acdm	12	Never-married	Adm-clerical	Not-in-family	White	Male	0	0	50	United-States	<=50K	
38	Private	51838	HS-grad	9	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	40	United-States	<=50K	
42	Self-emp-not-inc	206066	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	65	United-States	<=50K	
24	Private	211527	Bachelors	13	Never-married	Adm-clerical	Not-in-family	White	Male	0	0	30	United-States	<=50K	
25	Private	25249	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K	
21	Private	223811	Assoc-voc	11	Never-married	Exec-managerial	Own-child	White	Male	0	0	40	United-States	<=50K	
44	Federal-gov	280362	Assoc-acdm	12	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K	
40	Private	321758	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	>50K	
34	Private	144949	10th	6	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	45	United-States	>50K	
39	Private	211440	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	>50K	
44	Private	111275	HS-grad	9	Never-married	Other-service	Unmarried	Black	Female	0	0	38	United-States	<=50K	
37	Private	259785	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K	
41	Private	128354	Bachelors	13	Married-civ-spouse	Tech-support	Wife	White	Female	0	0	25	United-States	>50K	
22	Private	199555	Some-college	10	Never-married	Farming-fishing	Own-child	White	Male	0	0	25	United-States	<=50K	
28	Private	38918	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	Germany	>50K	
39	Private	114079	Assoc-acdm	12	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K	
33	Private	376483	Some-college	10	Divorced	Adm-clerical	Not-in-family	Black	Female	0	0	40	United-States	<=50K	
52	Private	204322	Assoc-voc	11	Married-civ-spouse	Tech-support	Husband	White	Male	5013	0	40	United-States	<=50K	
52	State-gov	303462	Some-college	10	Separated	Protective-serv	Unmarried	White	Male	0	0	40	United-States	<=50K	
59	?	93655	Some-college	10	Married-civ-spouse	?	Husband	White	Male	0	0	40	United-States	<=50K	
48	Local-gov	85341	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	<=50K	
26	State-gov	208122	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	15	United-States	<=50K	
28	Private	259840	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	60	United-States	>50K	
27	Private	168827	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K	
27	Private	151382	7th-8th	4	Divorced	Machine-op-inspct	Unmarried	White	Male	0	974	40	United-States	<=50K	
56	Private	160932	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	44	United-States	>50K	
37	Self-emp-not-inc	24106	HS-grad	9	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	30	United-States	<=50K	
23	Private	200207	HS-grad	9	Divorced	Handlers-cleaners	Own-child	White	Male	0	0	44	United-States	<=50K	
18	Private	236262	11th	7	Never-married	Handlers-cleaners	Own-child	White	Male	0	0	12	United-States	<=50K	
42	State-gov	104663	Doctorate	16	Never-married	Exec-managerial	Not-in-family	White	Female	0	0	40	Italy	>50K	
26	Private	303973	HS-grad	9	Never-married	Priv-house-serv	Other-relative	White	Female	0	1602	15	Mexico	<=50K	
27	Private	423250	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	<=50K	
20	Private	285295	Some-college	10	Never-married	Machine-op-inspct	Not-in-family	Asian-Pac-Islander	Female	0	0	40	?	<=50K	
31	Federal-gov	351141	HS-grad	9	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	40	United-States	<=50K	
23	Private	394612	Bachelors	13	Never-married	Tech-support	Own-child	Black	Male	0	0	40	United-States	<=50K	
36	Private	199739	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	7298	0	60	United-States	>50K	
22	?	195532	HS-grad	9	Never-married	?	Own-child	White	Female	0	0	40	United-States	<=50K	
54	Private	155433	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	0	0	35	United-States	<=50K	
35	Private	223514	Bachelors	13	Married-civ-spouse	Adm-clerical	Wife	Black	Female	0	0	40	United-States	<=50K	
25	Private	255647	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	0	0	25	Mexico	<=50K	
62	?	225657	HS-grad	9	Married-civ-spouse	?	Husband	White	Male	0	0	24	United-States	<=50K	
23	Private	169188	Some-college	10	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	0	25	United-States	<=50K	
35	Private	163237	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	52	United-States	>50K	
61	Self-emp-inc	156653	HS-grad	9	Divorced	Sales	Not-in-family	White	Male	0	0	55	United-States	<=50K	
53	Private	177727	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	>50K	
57	Self-emp-inc	61885	HS-grad	9	Married-civ-spouse	Prof-specialty	Husband	Black	Male	0	0	60	United-States	>50K	
33	Private	452924	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	Other	Male	0	0	40	Mexico	<=50K	
43	Private	350661	Prof-school	15	Separated	Tech-support	Not-in-family	White	Male	0	0	50	Columbia	>50K	
25	Private	102460	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	<=50K	
33	Private	176711	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Male	0	0	40	United-States	<=50K	
19	Private	165310	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Other-relative	White	Male	0	0	20	United-States	<=50K	
40	Private	197919	Assoc-acdm	12	Divorced	Sales	Unmarried	White	Female	0	0	40	United-States	<=50K	
26	Private	89648	Bachelors	13	Never-married	Exec-managerial	Not-in-family	White	Female	0	0	50	United-States	<=50K	
33	Private	157747	Assoc-acdm	12	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	40	United-States	<=50K	
35	Private	107302	Masters	14	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	India	<=50K	
24	Private	283806	Some-college	10	Never-married	Other-service	Not-in-family	White	Female	0	0	40	United-States	<=50K	
