attacking_pieces	pieces_on_king_side	close_combat_pieces	pawn_attack	pawn_defense	defensive_pawn_structure	blocked_center	open_file	strong_open_file	queen_bishop_diagonal	castling_type	bishops	Attack	Arguments	FEN	Result	Black	White	Event
3	4	2	0	2	g7	no	no	no	no	same	2	yes		r1k2b1r/2pb1Bpp/p1nq4/1p4B1/3P4/5Q2/PP3PPP/2R1R1K1 b - - 0 1	1-0	Brinck_Claussen, B.	Brondum, E.	Danmark 27/296
2	3	2	0	3	g7	no	yes	no	no	same	1	yes		3r1rk1/5ppp/pq6/2ppPBQ1/2n5/8/PP3PPP/R3R1K1 b - - 0 1	1/2-1/2	Tal, M.	Kavalek, L.	Montreal 27/298
5	5	2	0	3	nog7_bishop	no	yes	no	no	same	2	yes		r1r2bk1/2q2p1p/pn1p1npB/1p1PpN2/7R/2P2Q1P/PPB2PP1/3R2K1 b - - 0 1	1/2-1/2	Huebner, R.	Timman, J.	Wijk aan Zee 27/307
2	2	1	0	3	g7	no	yes	no	no	no	1	yes		rn1q1rk1/2pp1ppp/2b1pn2/1B5N/3P4/2B1P3/PP3P1P/R2QK1R1 b Q - 0 1	0-1	Vitolinsh, A.	Gutman, L.	USSR 27/605
3	3	1	0	3	nog7_bishop	no	no	no	no	same	2	yes		r2qr1k1/p2bp2p/1p3ppB/n2PP3/5N2/3B1P2/P5PP/QR4K1 b - - 0 1	1-0	White	Tarjan, J.	USA 27/638
3	3	2	0	2	nog7_bishop	no	no	no	yes	same	1	yes		r2qr3/p4kBp/1p3p2/n2P1p1N/8/5P2/P5PP/QR4K1 b - - 0 1	1-0	White	Tarjan, J.	USA 27/638
3	2	1	0	2	nog7_bishop	no	no	no	yes	same	2	yes		r2q2k1/pn1bp2p/5rp1/1p1PQ3/8/2BB1PN1/P5PP/1R4K1 b - - 0 1	1-0	Frasco	Tarjan, J.	USA 27/639
2	5	1	0	1	nog7_bishop	no	no	no	no	same	1	yes		2r1r1k1/pp1q1p2/7B/2P1p2p/b3P2N/P2n2P1/5PB1/Q4RK1 b - - 0 1	0-1	Sosonko, G.	Larsen, B.	Tilburg 28/100
1	3	1	3	3	nog7	no	yes	no	no	same	1	yes		5b1k/2qnrp1p/3p1pr1/p1pPPPpR/PpB3PP/1P3Q2/2PNR3/7K b - - 0 1	1-0	Vaganian, R.	Jussupow, A.	USSR (ch) 28/112
1	4	0	1	2	nog7	no	yes	no	no	same	0	yes		r5k1/3qppb1/n2p2p1/2pP2P1/4P3/2N3R1/Pr2NPK1/5R1Q b - - 0 1	1-0	Pokojowczyk, J.	Knaak, R.	Polanica Zdroj 28/145
2	4	0	1	2	nog7_bishop	no	no	no	no	same	0	yes		r1bqrn2/bp3pkp/p7/3p3P/3N4/1NP2QB1/PP2B1P1/5RK1 b - - 0 1	0-1	Ermenkov, E.	Georgiev, Kr	Sofia (m) 28/308
4	2	2	0	3	nog7	no	yes	no	no	same	1	yes		3r1r2/1bR2pkp/p3pnp1/4N1Q1/Pp1q4/3B4/1P3PPP/4R1K1 b - - 0 1	0-1	Shamkovich, L.	Valvo, M.	USA 28/332
1	2	0	1	2	g7	no	no	no	no	same	1	yes		2r2rk1/1b1p1pp1/pq2p3/1pb2P1p/4P3/3PB2P/PP2Q1P1/R2N1R1K b - - 0 1	1-0	Novak, I.	Plachetka, J.	Stary Smokovec 28/340
1	2	0	1	2	nog7_bishop	no	no	no	no	same	2	yes		r4rk1/1b1pqp2/p3p1p1/1pb2P1p/4P1n1/2BB1R1P/PPP1Q1P1/R2N3K b - - 0 1	1-0	Karpov, An	Ivanov, I.	USSR 28/341
1	2	0	3	3	g7	no	no	no	no	no	2	yes		r1bq1rk1/n3bppp/p2p4/3P2PP/1p3P2/3BBQ2/PPP5/R3K1R1 b Q - 0 1	1-0	Polugaevsky, L.	Kasparov, G.	USSR 28/434
2	2	1	2	3	nog7	no	no	no	no	different	1	yes		3q1rk1/4bp1p/p2p1p2/1pr1pBP1/4R2P/P4Q2/1PP5/2KR4 b - - 0 1	1-0	Kozlovskaya, V.	Alexandria, N.	Rio de Janeiro (izt) 28/437
2	3	0	1	2	g7	yes	yes	no	no	same	1	yes		5rk1/1bq3p1/p3p2p/1p1rP3/2p2PQ1/8/PPB2RPP/R5K1 b - - 0 1	1-0	Mikhalchishin, A.	Anikaev, Y.	USSR 28/589
2	2	1	1	3	g7	no	no	no	no	same	2	yes		r1b2rkn/pp3pp1/3p1R1p/2pPp3/2P1P2P/qN1B2P1/P2BQ3/R5K1 b - - 0 1	1-0	Spiridonov, N.	Knaak, R.	Polanica Zdroj 28/646
2	2	0	0	1	nog7	no	yes	no	no	same	1	yes		r1b1qrk1/pppn1pb1/8/4p3/P1B1P2Q/2P5/1P1N1PPP/R3R1K1 b - - 0 1	1-0	Jansa, Vl	Petrosian, T.	Bar 30/107
2	1	1	0	1	nog7	yes	yes	no	no	no	0	yes		r1b1Qn1k/p7/1p2p2p/2ppP1q1/8/2P1P3/PP3PP1/R3K2R b KQ - 0 1	1-0	Ree, H.	Kovacevic, Vlat	Maribor 30/112
3	1	1	1	2	g7	no	no	no	no	different	1	yes		r2r2k1/ppq1bpp1/2p1pn1P/4N1p1/3P4/3Q4/PPPB1P2/2KR3R b - - 0 1	1-0	Korchnoi, V.	Huebner, R.	Merano (m/1) 30/203
2	3	0	0	0	nog7	no	yes	no	no	different	0	yes		r1bqr1k1/ppp3n1/3p4/8/5Q2/2PR4/PPP2PP1/2K2B1R b - - 0 1	0-1	Jussupow, A.	Kupreichik, V.	USSR (ch) 30/238
4	2	0	0	2	g7	no	yes	no	no	same	2	yes		2r1rbk1/2qn2p1/pp2p2p/8/2P1N1Q1/1P6/PB4PP/1B1R3K b - - 0 1	1-0	Ravikumar, V.	Plachetka, J.	Kobenhavn 30/330
1	3	1	1	1	nog7	no	yes	no	no	same	0	yes		r1b2rk1/1pqp1p2/p3pnnQ/8/1b1NPP2/2N4P/PPP1B1P1/3R1RK1 b - - 0 1	1/2-1/2	Djuric, S.	Bronstein, D.	Tbilisi 30/335
3	3	1	1	3	g7	yes	yes	no	no	same	1	yes		r1b3k1/1pq1bpp1/p3p2p/P1p1P2Q/3r1P2/2NB2R1/1PP3PP/R5K1 b - - 0 1	1-0	Przewoznik, J.	Romanishin, O.	Polanica Zdroj 30/375
2	2	2	1	1	nog7	no	yes	no	no	different	0	yes		2rb2k1/8/p1bppp1Q/6PB/1p6/8/PPP1q2P/1K1R4 b - - 0 1	1-0	Mihaljcisin, M.	Vaisman, V.	Praha 30/383
2	2	1	1	2	nog7	no	no	no	no	different	0	yes		r1r3k1/pp2pp1p/3p3P/2qP1Q2/8/P7/1PP1BnP1/1K1R3R b - - 0 1	1-0	Vasiukov, E.	Dolmatov, S.	USSR (ch) 30/418
3	4	1	0	3	nog7	no	yes	no	no	same	1	yes		r3rbk1/1bq2p1p/p5p1/1p2pR2/4P1N1/P2B2Q1/1PP3PP/R6K b - - 0 1	1/2-1/2	Adamski, J.	Polovodin, I.	Naleczow 30/462
2	4	0	2	3	nog7	no	yes	no	no	same	1	yes		4r1k1/1bq2pbp/p2p2p1/1p3P2/6NP/P2B2Q1/1PP3P1/5R1K b - - 0 1	1/2-1/2	Adamski, J.	Polovodin, I.	Naleczow 30/462
3	4	1	0	3	g7	no	no	no	no	same	0	yes		3r1rk1/p2b1ppp/1qn1pn2/6N1/1p2N3/3Q2P1/PP2PPBP/R4RK1 b - - 0 1	0-1	Ljubojevic, Lj	Balashov, Y.	Buenos Aires 30/503
4	3	0	0	3	g7	no	yes	no	no	same	1	yes		r1qbrnk1/pp1N2pp/2p1Pp2/2PP4/6Q1/8/PB4PP/3R1RK1 b - - 0 1	0-1	Chekhov, V.	Taimanov, M.	USSR 30/568
1	3	1	1	3	nog7_bishop	no	no	no	yes	same	1	yes		r1bqr1k1/pp3p1p/2n2np1/3p1PN1/2PP4/B2B4/P5PP/RQ3RK1 b - - 0 1	0-1	Gruenberg, H.-U.	Schneider, A.	Magyarorszag - DDR 30/655
1	2	0	1	3	nog7	no	no	no	no	no	0	yes		rnbq1rk1/pp2pp1p/6p1/2pP4/4P2P/5N2/P2QBPP1/1R2K2R b K - 0 1	1-0	Natsis, T.	Kasparov, G.	Malta (ol) 30/682
2	4	0	1	2	nog7	no	yes	no	no	same	0	yes		r2q1rk1/2p2pb1/3p2p1/p1p5/2PpPNQP/1P1P4/P4PK1/1R5R b - - 0 1	1/2-1/2	Ljubojevic, Lj	Christiansen, L.	Mar del Plata 31/46
3	2	1	1	1	nog7_bishop	no	no	no	yes	no	1	yes		r1bq1rkb/pp3nnp/2pp4/5p1N/2P3P1/2N1B2P/PP1QBP2/R3K1R1 b Q - 0 1	1-0	Soltis, A.	Jussupow, A.	Lone Pine 31/95
3	5	1	2	2	nog7_bishop	no	yes	no	no	same	1	yes		1r1q1r2/p3ppk1/b2p2p1/1ppP1PNp/1P4PQ/P2P1N2/7P/b1B2RK1 b - - 0 1	1/2-1/2	Nunn, J.	Sax, Gy	Malta (ol) 31/164
1	4	0	2	3	g7	no	no	no	no	same	1	yes		r1b2rk1/1pq1bppp/p1nppn2/2p5/4PPPN/2NP4/PPP3BP/R1BQ1RK1 b - - 0 1	1-0	Nicevski, R.	Ivanovic, B.	Jugoslavija (ch) 31/204
2	3	1	0	2	g7	no	no	no	no	same	1	yes		r1b1r3/2q1bppk/p1n5/1p1n2N1/3p4/6NP/PP3PP1/R1BQR1K1 b - - 0 1	1-0	Negulescu, A.	Stoica, V.	Timisoara 31/400
1	2	0	1	3	nog7	no	no	no	no	no	1	yes		r1br4/p3ppkp/1p4p1/n6P/3PP3/3B2N1/P2Q1Pq1/3RK2R b K - 0 1	0-1	Stanciu, T.	Vaisman, V.	Bucuresti 31/520
2	3	2	1	1	nog7	no	no	no	no	different	0	yes		2rq1k2/pp2bp2/2p1Pn2/3p1QNr/3P3P/8/PP3PP1/1K2R2R b - - 0 1	1-0	Radev, N.	Lechtynsky, J.	Pamporovo 31/523
0	4	0	2	1	nog7_bishop	no	no	no	no	same	1	yes		r3r3/2q1bk1n/p1npp2p/2p3P1/Pp2PP1p/7N/1PP3B1/R1BQ1RK1 b - - 0 1	1-0	Suba, M.	Speelman, J.	Dortmund 32/100
1	2	0	1	3	nog7_bishop	no	no	no	no	same	2	yes		r1bq1rk1/pp2p1bp/1n3pp1/n2pPP2/3P4/2N5/PPB1N1PP/R1BQ1RK1 b - - 0 1	1-0	Browne, W.	Braga, F.	Buenos Aires 32/206
2	3	1	0	1	nog7	no	yes	no	yes	no	1	yes		r1bq1r1k/pp1pb3/2n1pnQp/8/8/2PB1N2/PP3PPP/RN2K2R b KQ - 0 1	0-1	Sveshnikov, E.	Novopashin, A.	USSR 32/208
2	3	2	0	2	g7	no	no	no	no	same	1	yes		1r2r1k1/1pqb1ppB/p3pR2/8/P1nN4/2N3b1/1PP3PP/R2Q3K b - - 0 1	1/2-1/2	Urzica, A.	Ghinda, M.-V.	Romania (ch) 32/324
4	3	0	0	3	g7	no	yes	no	yes	same	2	yes		r1qbr1k1/3n1ppp/p7/1ppN3b/4PB2/4QP2/PPB2P1P/3R2RK b - - 0 1	0-1	Psakhis, L.	Yudasin, L.	USSR (ch) 32/442
5	4	1	0	3	g7	no	no	no	no	same	2	yes		r1b2rk1/pppqnppp/2n5/4P1N1/1bBp3N/1Q5P/PP3PP1/R1B2RK1 b - - 0 1	1-0	Mikhalchishin, A.	Jussupow, A.	USSR (ch) 32/476
2	5	1	0	2	nog7_bishop	no	no	no	no	same	0	yes		r1bq1rk1/ppp2p2/3ppn1p/6N1/2nPP2B/2P3P1/P4PBP/R2Q1RK1 b - - 0 1	0-1	Petrosian, T.	Tielmann, K.	Oberwart 32/620
3	2	1	0	1	nog7	no	yes	no	no	different	0	yes		r1b2rk1/pp1pq3/2n1p1p1/2b3Np/2P1N1p1/P3P3/1PQ1BPP1/2KR3R b - - 0 1	1-0	Chernin, A.	Dorfman, J.	USSR 32/630
2	3	2	2	3	nog7_bishop	no	no	no	no	same	1	yes		r4rk1/ppp1ppbp/q4np1/4N1N1/3P1PP1/2P4P/PPb2R2/R1B1Q1K1 b - - 0 1	1-0	Bilek, I.	Kovacevic, Vlat	Vinkovci 33/158
1	3	1	3	2	nog7_bishop	no	no	no	no	same	1	yes		r4rk1/ppp1ppb1/q4n1p/4NPp1/b2P2PP/2P2N2/PP3R2/R1B1Q1K1 b - - 0 1	1-0	Bilek, I.	Kovacevic, Vlat	Vinkovci 33/158
1	2	1	1	3	nog7	no	yes	no	no	different	0	yes		r4rk1/pp1bpp1p/3p1npQ/8/2qNP2P/2N2P2/PPP3P1/2KR3R b - - 0 1	1-0	Rajkovic, Du	Tseshkovsky, V.	Vrnjacka Banja 33/301
2	2	1	1	3	nog7_bishop	no	no	no	yes	different	1	yes		r1r3k1/pp1bppbp/3p1npB/7P/2qNP3/2N2P2/PPPQ2P1/2KR3R b - - 0 1	1-0	Rajkovic, Du	Tseshkovsky, V.	Vrnjacka Banja 33/301
3	4	2	0	3	nog7_bishop	no	yes	no	yes	same	2	yes		2rr2k1/pb3p1p/1p2p1pQ/n3q1B1/2P5/P2B4/5PPP/3R1RK1 b - - 0 1	1/2-1/2	Tukmakov, V.	Kasparov, G.	USSR 33/622
2	3	2	0	1	nog7_bishop	no	no	no	no	same	1	yes		r2q2k1/p1bnnr1p/bpp1R2B/3p1p2/8/2N1N1P1/PP3PBP/R2Q2K1 b - - 0 1	1-0	Portisch, L.	Timman, J.	London 33/654
3	4	1	0	2	nog7_bishop	no	yes	yes	no	no	1	yes		r2q1rk1/pp2p1np/3p1npB/2pP4/P3P1B1/2P4Q/2P2PP1/R3K2R b Q - 0 1	1-0	Day, L.	Van der Wiel, J.	Luzern (ol) 34/80
2	2	0	0	2	nog7	yes	yes	no	no	same	1	yes		r4rk1/pbqn1p2/1p1pp2p/4P1b1/3P4/2PB2R1/P2N1PPP/R2Q2K1 b - - 0 1	1/2-1/2	Jansa, Vl	Ambroz, J.	CSSR (ch) 34/192
3	1	0	1	3	g7	no	yes	no	no	different	1	yes		r4r1k/1p3ppp/p2Q1b2/5P2/q2BP3/8/PPP4P/2KR2R1 b - - 0 1	0-1	Andruet, G.	Tompa, J.	Bagneux 34/304
1	3	1	0	1	nog7	no	no	no	no	same	1	yes		3q1rk1/5B2/3pP2p/1pp5/1n6/5bN1/1b3PP1/3QR1K1 b - - 0 1	1-0	Greenfeld, A.	Sax, Gy	Luzern (ol) 34/434
2	3	1	1	2	nog7_bishop	yes	yes	no	no	same	1	yes		r2r2k1/p3qb1p/1p1b1p1B/2p1pP2/4P2Q/2P5/P2RB1P1/1R4K1 b - - 0 1	1/2-1/2	Ghinda, M.-V.	Jussupow, A.	Luzern (ol) 34/555
3	4	1	0	3	nog7_bishop	no	yes	no	no	same	1	yes		r3r1k1/pp3p1p/2nP1Bp1/2p5/6Q1/8/Pq4PP/R4RK1 b - - 0 1	1-0	Belov, L.	Vaisser, A.	USSR 35/120
4	2	3	1	2	nog7_bishop	no	yes	no	no	different	2	yes		2r3k1/p3ppb1/1r2bnpR/1pq1B1Q1/5P2/P1NB4/1PP3P1/1K1R4 b - - 0 1	1-0	Sax, Gy	Van der Wiel, J.	Plovdiv 35/287
2	1	0	2	3	g7	no	no	no	no	different	2	yes		r4rk1/pp2bpp1/2b4p/q3p1P1/2B1p2P/1Q2B3/PPP2P2/2KR2R1 b - - 0 1	1-0	Sax, Gy	Karpov, An	Linares 35/299
3	4	1	1	2	nog7_bishop	no	yes	no	no	same	1	yes		r4rk1/2qn1pnp/p2pp1bB/1p6/3N3P/2N3Q1/PPP3P1/R4R1K b - - 0 1	0-1	Ftacnik, L.	Mestel, J.	Hastings 35/325
2	3	1	1	1	nog7_bishop	no	no	no	no	same	2	yes		r2b1rk1/1q1b3n/3p1p1B/1p1PpP2/p1n4N/7P/PPB1QPP1/2R1R1K1 b - - 0 1	1-0	Lerner, K.	Beliavsky, A.	USSR (ch) 35/455
1	2	0	2	3	g7	no	no	no	no	same	2	yes		2r3k1/pbrn1pp1/1p1qpn1p/3p4/3P1PP1/PP1B1Q2/1BPNR2P/2R3K1 b - - 0 1	1-0	Farago, I.	Kovacevic, Vlat	Hastings 35/467
1	3	0	1	3	g7	no	no	no	no	same	1	yes		r4rk1/1b2qpp1/1p1ppn1p/4n3/1PPNPP1B/3B4/4Q1PP/R4RK1 b - - 0 1	0-1	Andersson, U.	Korchnoi, V.	Wijk aan Zee 35/587
2	4	2	0	0	nog7	no	yes	no	no	same	0	yes		2rr2k1/1b2q1b1/pp1pPnQ1/2p3N1/2P5/6P1/PP3PB1/3RR1K1 b - - 0 1	1-0	Alexandria, N.	Levitina, I.	Dubna (m/10) 36/636
2	2	0	1	0	nog7_bishop	no	no	no	no	same	2	yes		2r5/1bq2r1k/ppn2b2/2pBnpP1/2P5/3PP3/PB2Q2P/R5RK b - - 0 1	1-0	Lechtynsky, J.	Padevsky, N.	Kragujevac 37/16
2	3	0	1	3	g7	no	no	no	no	different	0	yes		r4rk1/pp2bpp1/2B2n1p/q4P2/5Q1B/2p5/PPP3PP/1K1R3R w - - 0 1	1-0	Sosonko, G.	Beliavsky, A.	Wijk aan Zee 37/215
3	4	1	1	1	g7	no	yes	yes	no	same	1	yes		2r5/pp1n1kp1/8/3qppB1/1b1p1P2/5PQ1/PP5P/3R2RK b - - 0 1	1-0	Reefschlaeger, H.	Van der Wiel, J.	Volmac - Porz 37/310
1	3	0	2	1	nog7	no	no	no	no	same	1	yes		r1br2kb/p2q3p/1p4Pn/3P4/2p2P2/2P3N1/P1BQ3P/3R1RK1 b - - 0 1	1/2-1/2	Mikhalchishin, A.	Lukacs, P.	Spartakus - Trud 37/524
1	2	0	2	2	nog7	yes	no	no	no	no	0	yes		1r1r4/p4pbk/4p1p1/2pqP2P/1p3PN1/2PPR1K1/P2Q4/4R3 b - - 0 1	0-1	Tukmakov, V.	Van der Wiel, J.	Tilburg 38/197
2	4	1	0	2	nog7	no	yes	no	no	same	0	yes		5rk1/2q2p1p/8/5Np1/4RbQ1/8/rP4PP/5R1K b - - 0 1	1-0	Hergott, D.	Anand, V.	Thessaloniki (ol) 38/202
1	3	0	3	2	g7	no	no	no	no	same	1	yes		2q1r1rk/1p2b1p1/p2pp2p/P5P1/3B1P1P/6Q1/1PP3R1/R5K1 b - - 0 1	1-0	Andersson, U.	Huebner, R.	Tilburg 38/294
2	0	0	1	2	g7	no	no	no	no	different	1	yes		3r1r1k/1Q4pp/7P/p1q5/Pp1bR3/1B6/1PP5/1K2R3 b - - 0 1	1-0	Kindermann, S.	Ghinda, M.-V.	Thessaloniki (ol) 38/317
4	4	1	0	3	g7	no	no	no	no	same	1	yes		3r1rk1/p4ppp/4q3/3n1N2/1p6/3P1Q2/Pb1B2PP/4RR1K b - - 0 1	1/2-1/2	Cebalo, M.	Sokolov, Andrei	Novi Sad 38/320
4	2	1	0	2	g7	no	no	no	yes	no	2	yes		r1b2r1k/p1q2pp1/4pb2/2p1n1N1/4B3/2P1B3/PPQ2P1P/R3K2R b KQ - 0 1	1-0	Ree, H.	Ghinda, M.-V.	Thessaloniki (ol) 38/399
3	4	2	1	3	g7	no	yes	no	no	same	1	yes		1r1qrb1k/5ppp/p4n2/2p1pNN1/P2pPP2/1b1P2R1/1P1B2PP/R3Q1K1 b - - 0 1	0-1	Malaniuk, V.	Kupreichik, V.	Yerevan 38/446
2	2	1	0	3	g7	yes	no	no	no	same	2	yes		r3nrk1/pbq2ppp/1p2p3/2p1P1B1/2P5/P1PBR3/5PPP/R2Q2K1 b - - 0 1	1/2-1/2	Lukacs, P.	Adorjan, A.	Magyarorszag (ch) 38/509
4	3	0	1	3	nog7_bishop	no	no	no	yes	same	2	yes		r1bq1rk1/p4p1p/1p3Pp1/2p5/2B1PQ2/2b1B3/P5PP/1R3RK1 b - - 0 1	1/2-1/2	Ftacnik, L.	Hjartarson, J.	Thessaloniki (ol) 38/605
2	2	1	0	0	nog7	no	yes	no	no	no	0	yes		rn1q2k1/4p1b1/pn4Q1/1p4p1/2pPN3/8/PP3PP1/R3KB2 b Q - 0 1	1-0	Malaniuk, V.	Petrosian, A.	Yerevan 38/618
