attacking_pieces	pieces_on_king_side	close_combat_pieces	pawn_attack	pawn_defense	defensive_pawn_structure	blocked_center	open_file	strong_open_file	queen_bishop_diagonal	castling_type	bishops	Attack	FEN	Result	Black	White	Event
3.000	3.000	1.000	1.000	3.000	nog7	no	no	no	no	same	1.000	yes	r3qrk1/1bp2pbp/1p3np1/pP3PN1/P1B1p3/1QP1P3/3N2PP/3R1RK1 b - - 0 1	0-1	Vukic, M.	Damjanovic, M.	Vukovar 21/79
3.000	2.000	1.000	0.000	3.000	g7	no	no	no	no	same	1.000	yes	rq3rk1/3nbppp/4p3/3b1N2/Np6/1P2Q1P1/PB3P1P/R2R2K1 b - - 0 1	1-0	Joksic, S.	Gliksman, Dar	Jugoslavija (ch) 22/79
4.000	5.000	0.000	0.000	3.000	g7	no	yes	no	no	same	1.000	yes	1rbq1bk1/ppr3pp/3p1p2/2pP4/P1B2Q1B/6RP/1PP3P1/5RK1 b - - 0 1	1-0	Fraguela Gil, J.	Bellon Lopez, J.	Montilla 22/105
0.000	3.000	0.000	2.000	1.000	nog7_bishop	no	no	no	no	same	1.000	yes	r1bqrbk1/pp5n/2p1n1p1/3pPPPp/P7/2N1B3/1PP1N1B1/R2Q1RK1 b - - 0 1	1-0	Tseshkovsky, V.	Sveshnikov, E.	Sochi 22/178
2.000	2.000	1.000	1.000	1.000	nog7_bishop	yes	yes	no	no	no	2.000	yes	r2qr1k1/ppp2pb1/1n2p3/3pP1PQ/3P4/2PB4/PP2K2P/n1B4R b - - 0 1	1-0	Vadasz, L.	Mednis, E.	Budapest 22/200
3.000	4.000	2.000	1.000	3.000	g7	yes	yes	no	no	same	0.000	yes	4r1k1/p1r1qppp/1p2p1n1/3pP1NN/1PnP2QP/P2R2P1/5P2/4R1K1 b - - 0 1	1-0	Diez del Corral, J.	Stean, M.	Montilla 22/234
2.000	2.000	1.000	1.000	3.000	nog7	no	yes	no	no	same	1.000	yes	r1q2rk1/1p2pp1p/3p2p1/1N3PQn/1Pn1P3/1B3P2/7P/1R1R3K b - - 0 1	0-1	Marangunic, S.	Ljubojevic, Lj	Jugoslavija (ch) 23/190
2.000	2.000	1.000	3.000	3.000	g7	yes	no	no	no	different	1.000	yes	2r2r1k/pp2bpp1/1q2p2p/1b1pP1N1/3P1PPP/8/PPBQ4/1K1R3R b - - 0 1	1-0	Panbukchian, V.	Timoscenko, G.	Varna 23/213
3.000	3.000	0.000	1.000	2.000	g7	yes	yes	yes	no	same	2.000	yes	2r4k/1p2brpp/p3p3/1b1pP2q/3B1PR1/2P5/PPBQ3P/6RK b - - 0 1	1-0	Hecht, H.-J.	Ermenkov, E.	Moscow 23/215
2.000	4.000	0.000	1.000	3.000	g7	yes	yes	no	no	same	1.000	yes	r4rk1/1q1bbppp/p2pp3/1p1nPP2/8/P1NPBNQ1/1P4PP/R4RK1 b - - 0 1	0-1	Malich, B.	Grottke, H.-J.	DDR 23/482
1.000	2.000	0.000	3.000	2.000	nog7	no	no	no	no	same	0.000	yes	3r1r2/p2qpp1k/1pnp2p1/3N1P1p/2P1Q1PP/1P6/P3P3/R4RK1 b - - 0 1	1-0	Tustonic	Plachetka, J.	Vinkovci 23/632
2.000	4.000	0.000	2.000	3.000	nog7_bishop	yes	no	no	yes	same	1.000	yes	2r2r2/p2bnpbk/1q2p1pp/n2pP3/1p1P1BPP/1P3N2/P2QNPB1/2R1R1K1 b - - 0 1	1-0	Small, V.	Bordonada, G.	New Zealand 24/6
3.000	3.000	1.000	2.000	3.000	g7	no	no	no	yes	no	2.000	yes	rn1qnrk1/pb2bppp/1p1pp3/6B1/3P2PP/2PB1N2/PPQN1P2/R3K2R b KQ - 0 1	1-0	Minic, D.	Kovacevic, Vlat	Karlovac 24/104
1.000	3.000	0.000	1.000	0.000	nog7_bishop	no	yes	no	no	different	1.000	yes	r1b2r2/p3p1b1/2p1n1k1/2p1PpP1/1p3B2/3P1Q2/qPP1NP2/2KR3R b - - 0 1	1-0	Simic, R.	Dvoretzky, M.	USSR - Jugoslavija 25/384
2.000	2.000	0.000	2.000	2.000	nog7	no	yes	no	no	same	1.000	yes	3r4/4npk1/1p1q2p1/1R5P/2Pp1P2/3B2Q1/6P1/6K1 b - - 0 1	1/2-1/2	Karpov, An	Korchnoi, V.	Baguio City (m/9) 26/551
1.000	2.000	0.000	1.000	3.000	g7	no	no	no	no	same	1.000	yes	r2q1rk1/1p1b1ppp/2n1p3/2Pp1P2/p2P4/P1NB4/1P1Q2PP/R4RK1 b - - 0 1	1/2-1/2	Karpov, An	Korchnoi, V.	Baguio City (m/3) 26/648
2.000	3.000	0.000	1.000	3.000	nog7	no	yes	no	no	same	1.000	yes	r3r1k1/4np1p/2b2qp1/3p1P2/p2P4/P1N3R1/1PBQ3P/5R1K b - - 0 1	1/2-1/2	Karpov, An	Korchnoi, V.	Baguio City (m/3) 26/648
1.000	4.000	0.000	1.000	2.000	nog7_bishop	no	no	no	no	same	1.000	yes	r3qnk1/1b5p/5np1/1pb2P2/2pp4/6NB/PP1B2PP/R2Q1R1K b - - 0 1	1/2-1/2	Karpov, An	Korchnoi, V.	Baguio City (m/7) 26/652
3.000	2.000	0.000	2.000	3.000	g7	no	yes	no	no	same	2.000	yes	r4rk1/1pn1q1pp/2p1pp2/p1n4P/2P1BP2/PP1P3P/1B2Q3/R5RK b - - 0 1	1-0	Bellon Lopez, J.	Taimanov, M.	Bucuresti 27/12
2.000	4.000	1.000	1.000	3.000	nog7_bishop	yes	no	no	no	same	1.000	yes	r4rk1/1p1n1p1p/n1p1p1p1/q3P1NP/2Pp1B2/pPbP2P1/P3QPB1/2RR2K1 b - - 0 1	1-0	Vasiukov, E.	Biyiasas, P.	Hastings 27/13
3.000	3.000	2.000	0.000	2.000	nog7	no	yes	no	no	different	0.000	yes	rnb4r/2q3kp/p1pp1npR/1p2ppN1/2P5/2NP1BP1/PP1QPP2/2KR4 b - - 0 1	1-0	Iokimidis, G.	Milic, B.	Greece 27/22
3.000	2.000	0.000	0.000	3.000	g7	no	yes	yes	no	no	1.000	yes	rn3rk1/p2p2pp/1q2pp2/2p5/2P5/P1B1PPQ1/1P3P1P/R3K1R1 b Q - 0 1	1-0	Tarjan, J.	Gheorghiu, F.	Lone Pine 27/567
2.000	3.000	0.000	1.000	3.000	nog7	no	yes	no	no	same	1.000	yes	6rk/2qnrpbp/3p1p2/p1pP4/PpB1PQP1/1P5R/2PNR2P/7K b - - 0 1	1-0	Vaganian, R.	Jussupow, A.	USSR (ch) 28/112
1.000	2.000	1.000	1.000	2.000	nog7_bishop	no	no	no	no	different	1.000	yes	r2qr1k1/pp2pp1p/1n5B/3P1P1p/3b4/1QN4P/PP3P2/2KR3R b - - 0 1	1-0	Seoiev	Anikaev, Y.	USSR 28/191
3.000	2.000	1.000	0.000	2.000	g7	no	yes	no	no	same	1.000	yes	3r1r2/1n1q1ppk/p3n2b/1pppP2Q/4N3/2P1B2P/PP3PP1/3RR1K1 b - - 0 1	1/2-1/2	Stean, M.	Sigurjonsson, G.	Muenchen 28/276
5.000	4.000	2.000	0.000	3.000	g7	no	no	no	yes	same	2.000	yes	1rb2r1k/q4ppp/2np1N2/p3P1B1/PpP5/1P4bP/2BQ2P1/3R1R1K b - - 0 1	1-0	Radovici, C.	Ciocaltea, V.	Romania (ch) 28/287
3.000	2.000	0.000	1.000	2.000	nog7_bishop	no	yes	yes	no	different	1.000	yes	r5k1/1pqbbr1p/p2pp1p1/6P1/7R/1PNQB2R/1PP2P1P/2K5 b - - 0 1	1/2-1/2	Liberzon, V.	Szmetan, J.	Buenos Aires 28/377
1.000	1.000	0.000	2.000	2.000	nog7_bishop	no	no	no	no	different	1.000	yes	r2q1rk1/p3bp2/2p3p1/3p3P/2n2Pp1/2NQB3/PPP5/2KR3R b - - 0 1	1-0	Lein, A.	Larsen, B.	Lone Pine 28/411
2.000	3.000	1.000	0.000	1.000	nog7	no	yes	no	no	same	1.000	yes	r2r2k1/1bq2p2/1pn2n1Q/p1pB4/4P3/P4N2/1P3PPP/2RR2K1 b - - 0 1	1-0	Rukavina, J.	Frank, V.	Virovitica 28/557
2.000	2.000	0.000	1.000	1.000	nog7_bishop	no	yes	no	no	same	1.000	yes	2r3k1/1n1qp3/1B2p1pb/1p1P4/4BP2/6QP/8/1R4K1 b - - 0 1	0-1	Timman, J.	Polugaevsky, L.	Breda (m/6) 28/677
1.000	2.000	0.000	1.000	3.000	nog7	no	no	no	no	no	0.000	yes	r1bq1rk1/1p1npp1p/6pb/p2pP2P/P2P4/2NQ1P2/1P2N1P1/3RKB1R b K - 0 1	1-0	Kupreichik, V.	Jussupow, A.	USSR (ch) 28/712
2.000	3.000	0.000	1.000	3.000	g7	yes	yes	no	no	different	1.000	yes	r4rk1/pb3ppp/2p2b2/q3pP2/2p1P3/2N1BQ2/PPP4P/2K3RR b - - 0 1	0-1	Schneider, A.	Sax, Gy	Skara 29/355
2.000	2.000	0.000	1.000	1.000	nog7	no	yes	yes	no	no	0.000	yes	rn3rk1/pp2q1b1/3p1p2/2pPpP2/2P3Qp/2N4P/PP3P2/R3K1R1 b Q - 0 1	1-0	Chiburdanidze, M.	Kasparov, G.	Baku 29/621
2.000	4.000	1.000	0.000	1.000	nog7	no	no	no	no	same	0.000	yes	3r1rk1/ppn3q1/2n1b2p/2pp1p1N/2P5/1P1PR3/P2Q1NBP/2R3K1 b - - 0 1	0-1	Kasparov, G.	Tempone, M.	Dortmund 30/96
3.000	3.000	2.000	0.000	1.000	nog7_bishop	no	yes	no	no	same	1.000	yes	6k1/pp1q1rb1/3p2Qp/5p1N/8/P1B4P/1P4PK/8 b - - 0 1	1/2-1/2	Boudy, J.	Stoica, V.	Varna 30/181
3.000	4.000	0.000	0.000	3.000	g7	yes	yes	no	no	same	2.000	yes	r2q1rk1/nb2bppp/4p3/p1ppP3/P5Q1/3B1N2/1PP2PPP/R1B2RK1 b - - 0 1	1/2-1/2	Vaganian, R.	Liberzon, V.	Baden 30/211
1.000	2.000	0.000	2.000	2.000	nog7	no	no	no	no	different	0.000	yes	rq3r2/p1p2pk1/2ppbnp1/7p/4P1PP/2N2P2/PPPQ4/2KR1B1R b - - 0 1	1/2-1/2	Castro, O.	Jansa, Vl	Malta (ol) 30/234
5.000	4.000	2.000	0.000	3.000	g7	no	yes	no	no	same	2.000	yes	r2q2k1/1bp2ppp/1n3b2/p1np1NN1/6Q1/2P4P/1PB2PP1/R1B3K1 b - - 0 1	1-0	Lengyel, L.	Popovic, P.	Pecs 30/296
2.000	4.000	0.000	0.000	1.000	nog7	no	no	no	no	same	0.000	yes	1r1q4/p3n2p/1pn3k1/2pp2p1/4P3/2PP2PB/PP3Q1P/5RK1 b - - 0 1	1/2-1/2	Shamkovich, L.	Pacis, A.	Malta (ol) 30/310
1.000	4.000	0.000	1.000	3.000	g7	no	no	no	no	different	1.000	yes	r4rk1/1bq2pp1/p2bp1p1/3pn2P/1p1NPB2/5P2/PPP4Q/1K1R1B1R b - - 0 1	1/2-1/2	Bielczyk, J.	Shamkovich, L.	Malta (ol) 30/401
4.000	3.000	0.000	1.000	3.000	g7	no	no	no	no	same	1.000	yes	r1r3k1/1p1n1ppp/p4P2/P2Pp3/1b2N3/5Q2/1Pq3PP/R1B2R1K b - - 0 1	1-0	Groszpeter, A.	Vogt, L.	DDR - Magyarorszag 30/479
2.000	3.000	1.000	0.000	2.000	nog7	no	yes	no	no	same	0.000	yes	rnb3k1/1p3pPp/p3p2Q/q7/1b1r4/1RN5/P1P1B1PP/5RK1 b - - 0 1	1-0	Quinteros, M.	Mahia, G.	Buenos Aires 30/493
4.000	3.000	0.000	0.000	3.000	g7	no	yes	no	no	same	1.000	yes	r2br1k1/ppqN2pp/4np2/2PR4/6Q1/8/PB4PP/5RK1 b - - 0 1	0-1	Chekhov, V.	Taimanov, M.	USSR 30/568
4.000	4.000	2.000	0.000	2.000	g7	no	yes	no	no	same	1.000	yes	r2br1k1/pp2qNpp/4nR2/2PR4/6Q1/8/PB4PP/6K1 b - - 0 1	0-1	Chekhov, V.	Taimanov, M.	USSR 30/568
4.000	2.000	2.000	0.000	2.000	g7	no	no	no	yes	same	2.000	yes	r1rq2k1/pb2npp1/1p2pn1B/1P2N3/1P1P4/3BQ3/5PPP/R3R1K1 b - - 0 1	1-0	Rodriguez, R.	Plachetka, J.	Malta (ol) 30/670
3.000	2.000	0.000	1.000	3.000	nog7_bishop	no	no	no	yes	same	1.000	yes	2rq1r2/2nn1pbk/p5pp/P1pPpP2/2p1N3/2N1B3/3Q2PP/R4RK1 b - - 0 1	1-0	Suba, M.	Rivas Pastor, M.	Medina del Campo 31/124
2.000	3.000	0.000	1.000	3.000	g7	no	no	no	no	different	2.000	yes	r1b2rk1/ppqn1pp1/4pn1p/2b5/6P1/3B1N1N/PPPBQP1P/2KR3R b - - 0 1	1-0	Voltchok, A.	Fedorov, V.I.	USSR 31/179
3.000	4.000	0.000	0.000	3.000	g7	no	yes	no	no	same	1.000	yes	r1b2rk1/1p2bppp/p2p1n2/8/P3PB2/2N3Q1/1qP1B1PP/R4R1K b - - 0 1	1/2-1/2	Polugaevsky, L.	Psakhis, L.	USSR 31/301
2.000	3.000	1.000	1.000	3.000	g7	no	no	no	no	same	1.000	yes	3rr1k1/ppq2ppp/2pbpnn1/4N3/2PP3P/P5B1/1PB1QPP1/3R1RK1 b - - 0 1	1-0	Djuric, S.	Gipslis, A.	Tallinn 31/349
3.000	3.000	1.000	0.000	2.000	nog7_bishop	no	no	no	no	same	1.000	yes	r2q1rk1/pp3pbp/n2p1nb1/2p2N2/8/P1N5/1PP1B1PP/R1BQ1RK1 b - - 0 1	1-0	Kuzmin, G.	Dolmatov, S.	USSR (ch) 32/179
2.000	2.000	1.000	0.000	1.000	nog7_bishop	yes	yes	no	no	same	1.000	yes	2rq1r1k/pp1b4/1nn1ppQ1/3pP3/3P4/1P6/P4PPP/R1BNR1K1 b - - 0 1	1-0	Browne, W.	Braga, F.	Buenos Aires 32/206
2.000	3.000	2.000	1.000	2.000	nog7	no	yes	no	no	same	0.000	yes	rn3r1k/1b4qp/p2p2pN/3P2Q1/4R2P/8/1PP2PP1/4R1K1 b - - 0 1	0-1	Heinig, W.	Horvath, T.	Trnava 32/240
2.000	3.000	1.000	0.000	3.000	nog7_bishop	no	yes	no	no	same	1.000	yes	1r2r1k1/1pqb1p1p/p2bpp2/7Q/P1nNB3/2N3B1/1PP3PP/R6K b - - 0 1	1/2-1/2	Urzica, A.	Ghinda, M.-V.	Romania (ch) 32/324
2.000	3.000	1.000	0.000	2.000	nog7	yes	yes	no	no	same	1.000	yes	r4qkr/3b1p1p/4p3/pn1pP2Q/1n1P4/1P2RN2/5PPP/RB4K1 b - - 0 1	1-0	Fraguela Gil, J.	Fernandez, J.L.	Espana (ch) 32/378
3.000	4.000	1.000	1.000	2.000	g7	no	yes	no	no	same	2.000	yes	r2q1rk1/5pp1/pn1p1nb1/2pP2N1/1p1bP1P1/1P5R/P1B2PK1/1RBQ1N2 b - - 0 1	1-0	Timoscenko, G.	Yudasin, L.	USSR (ch) 32/441
3.000	4.000	1.000	1.000	3.000	nog7_bishop	no	no	no	no	no	1.000	yes	r1bqr1k1/1p1n1p1p/p1p3p1/2bpP1N1/5BnP/P1N1P3/1PQ2PP1/2R1KB1R b K - 0 1	0-1	Simic, R.	Spassov, L.	Athens 32/534
3.000	5.000	1.000	0.000	3.000	g7	no	yes	no	no	same	0.000	yes	rn3r1k/1b1q2pp/pp1p1p2/2pP1N2/7R/6PB/1P1QPP1P/5RK1 b - - 0 1	1-0	Kogan, B.	Browne, W.	USA 32/609
0.000	1.000	0.000	1.000	3.000	g7	no	no	no	no	no	0.000	yes	2r3k1/p1q2pp1/1pr2n1p/3p2P1/1Q6/P1P1P2P/3NKP2/2R3R1 b - - 0 1	0-1	Kovacevic, Vlat	Kelecevic, N.	Sarajevo 33/537
2.000	4.000	1.000	1.000	2.000	nog7_bishop	yes	no	no	yes	same	2.000	yes	r1b1r1kb/p4p2/1q4pB/1p1PpP1n/2p1P3/2P5/P2Q1RPN/1BR3K1 b - - 0 1	0-1	Popovic, P.	Gligoric, S.	Jugoslavija 33/577
3.000	4.000	0.000	0.000	3.000	g7	no	yes	no	no	same	1.000	yes	r1b2rk1/1p2bpp1/pqp1pn1p/8/R6R/1P3NP1/1BQPPPBP/6K1 b - - 0 1	1-0	Passerotti, P.	Sunye Neto, J.	Luzern (ol) 34/11
1.000	2.000	0.000	1.000	3.000	nog7_bishop	no	yes	no	no	same	1.000	yes	3rnrk1/1bq1bp1p/pp1pp1p1/2n2P2/P1PNP3/BPN4Q/2B3PP/3RR1K1 b - - 0 1	1-0	Nun, Ji	Suba, M.	Eksjo 34/20
3.000	2.000	0.000	1.000	3.000	nog7_bishop	no	yes	yes	no	different	1.000	yes	2r2rk1/pp1b1pbp/3ppqp1/8/3NP1P1/1P2BP2/P1P4Q/2KR3R b - - 0 1	1-0	Sax, Gy	Murey, J.	Moscow (izt) 34/275
3.000	5.000	1.000	2.000	2.000	nog7_bishop	no	no	no	no	same	2.000	yes	r4rk1/pbp2p2/1p4p1/n3b1Bp/q3PNPP/2PB1Q2/P4P2/3R1RK1 b - - 0 1	1-0	Sax, Gy	Kasparov, G.	Moscow (izt) 34/560
3.000	3.000	1.000	2.000	3.000	nog7	no	yes	no	no	no	0.000	yes	r2qr3/1bp3kp/p4ppN/2pP4/2P2PP1/3QP1K1/P7/2R4R b - - 0 1	1-0	Razuvaev, Y.	Averkin, O.	Sochi 34/627
3.000	3.000	1.000	1.000	0.000	nog7	no	yes	no	no	same	0.000	yes	r2q1nk1/pp4b1/3pb1P1/2pNp2Q/2P1P3/8/PP2B1PP/5RK1 b - - 0 1	0-1	Kasparov, G.	Christiansen, L.	Moscow (izt) 34/709
3.000	3.000	1.000	0.000	3.000	nog7_bishop	no	no	no	no	same	1.000	yes	rn3rk1/p2b1p1p/3P2p1/q2P2Nn/1p2N3/2p1B3/P3BPPP/Q4RK1 b - - 0 1	0-1	Huerta, R.	Nogueiras, J.	Cuba 35/124
3.000	2.000	0.000	1.000	3.000	g7	no	yes	no	no	same	2.000	yes	rq1r1bk1/1b1n1ppp/pp1p4/3P4/2P2P2/PP1B3R/1B2Q1PP/3R2K1 b - - 0 1	1-0	Ermenkov, E.	Ivanovic, B.	Plovdiv 35/234
2.000	5.000	1.000	1.000	3.000	nog7_bishop	no	yes	no	no	same	1.000	yes	2r2rk1/1bq2pbp/p2ppnp1/1p3PB1/4P2Q/nNN2B2/1PP3PP/3R1R1K b - - 0 1	1-0	Karlsson, L.	Rantanen, Y.	Helsinki 35/278
2.000	4.000	1.000	1.000	3.000	nog7_bishop	no	yes	no	no	same	1.000	yes	2r2rk1/1q1n1pbp/3p1npB/p4P2/1p1N3Q/5P2/PPP1N2P/3R1R1K b - - 0 1	1-0	Karlsson, L.	Rantanen, Y.	Helsinki 35/278
2.000	2.000	0.000	2.000	2.000	g7	no	no	no	no	different	2.000	yes	1rb2rk1/q3bpp1/2p2P2/3pp2p/4n1P1/1PNB3P/P2BQ3/2K3RR b - - 0 1	1-0	Vilela, J.	Diaz, J.C.	La Habana 35/309
4.000	4.000	2.000	0.000	2.000	nog7_bishop	no	yes	no	no	same	2.000	yes	r5k1/1q1b1p1n/3p2pB/1pbPp1N1/p6Q/7P/PPB2PP1/2R3K1 b - - 0 1	1-0	Lerner, K.	Beliavsky, A.	USSR (ch) 35/455
3.000	4.000	2.000	0.000	2.000	nog7_bishop	no	no	no	yes	same	2.000	yes	r2b2k1/1q1brp1n/3p2pB/np1PpN2/p3P3/5N1P/PPBQ1PP1/2R1R1K1 b - - 0 1	1-0	Lerner, K.	Beliavsky, A.	USSR (ch) 35/455
2.000	2.000	0.000	0.000	3.000	nog7	no	no	no	no	same	0.000	yes	r4rk1/3b1p1p/p1p1pp2/8/4N3/q4B2/2PQ2PP/3R3K b - - 0 1	~	Fedder, S.	Van der Wiel, J.	Plovdiv 35/(357)
4.000	1.000	1.000	1.000	3.000	g7	no	yes	no	no	different	2.000	yes	r4rk1/1q2bpp1/p1b1pn1p/4B3/1p2N2P/3B2R1/PPP1QPP1/2KR4 b - - 0 1	1-0	Lerner, K.	Jansa, Vl	Bratislava 36/265
3.000	3.000	0.000	0.000	3.000	nog7_bishop	no	yes	no	no	same	1.000	yes	r1b1r2k/1p3pbp/p1q2p2/3Np3/P3P3/2B3Q1/1PP1B1PP/5R1K b - - 0 1	1-0	Panchenko, A.	Geller, E.	Sochi 36/314
2.000	2.000	1.000	1.000	3.000	nog7	no	yes	no	no	same	1.000	yes	r2q2k1/1b2rp2/1p3bpp/p2pNn2/3P1P2/P1N4R/BP1Q2PP/4R1K1 b - - 0 1	1-0	Kharitonov, A.Y.	Psakhis, L.	USSR 36/529
4.000	5.000	1.000	0.000	3.000	nog7_bishop	no	yes	no	no	same	1.000	yes	1r1qnrk1/4ppbp/2pp2p1/n2bP1N1/1p1PNBQ1/1P4PP/P4PB1/R3R1K1 b - - 0 1	0-1	Tseshkovsky, V.	Geller, E.	Sochi 36/695
4.000	3.000	1.000	1.000	3.000	g7	no	no	no	yes	same	2.000	yes	r1bq1rk1/pp3ppp/3p1n2/5nN1/2P2P2/3B4/PB4PP/RQ3RK1 b - - 0 1	~	Gruenberg, H.-U.	Knaak, R.	DDR (ch) 36/(666)
2.000	4.000	1.000	1.000	0.000	nog7_bishop	no	yes	no	no	same	1.000	yes	2r2r2/1bqn2k1/pp2p2Q/2p1npP1/2P5/2BPP3/P5BP/R4R1K b - - 0 1	1-0	Lechtynsky, J.	Padevsky, N.	Kragujevac 37/16
1.000	3.000	0.000	1.000	0.000	nog7_bishop	no	no	no	no	same	1.000	yes	2r5/1bqn1r1k/ppn1p3/2p1bpP1/2P5/2NPP3/PB2Q1BP/R5RK w - - 0 1	1-0	Lechtynsky, J.	Padevsky, N.	Kragujevac 37/16
2.000	2.000	1.000	0.000	0.000	nog7	no	yes	no	no	different	0.000	yes	2r2rk1/p3pqbR/1pn5/3N4/2P2p2/5N2/PP2QP2/2KR4 b - - 0 1	1-0	Miles, A.	Mestel, J.	London 37/48
2.000	2.000	0.000	2.000	3.000	nog7_bishop	no	no	no	no	different	1.000	yes	r4rk1/4ppbp/2qpbnp1/7P/p2BP1P1/1P3P2/1PPQN3/1K1R1B1R w - - 0 1	1-0	Estevez, G.	Diaz, J.C.	Cuba (ch) 37/235
4.000	3.000	1.000	0.000	2.000	nog7_bishop	no	yes	no	no	same	2.000	yes	2r2r2/pp2bpk1/4n1p1/3qpR2/4B1Q1/4B3/PPP4P/R6K b - - 0 1	1-0	Diaz, J.C.	Zapata, A.	Bayamo 37/256
2.000	2.000	1.000	0.000	0.000	nog7	no	no	no	no	same	0.000	yes	rnb5/1p3Q2/1n5k/1p2p3/4N2b/6P1/PPP4P/6K1 b - - 0 1	1-0	Alzate, D.	Diaz, J.C.	Bayamo 37/299
2.000	3.000	1.000	0.000	1.000	nog7_bishop	no	yes	no	no	same	1.000	yes	r3q3/3n1r1k/5p1B/pPp1pp2/2p5/R6Q/2P3PP/4R1K1 b - - 0 1	1-0	Gruenberg, H.-U.	Tseshkovsky, V.	Halle 37/329
4.000	4.000	2.000	0.000	3.000	nog7_bishop	no	no	no	yes	same	2.000	yes	r1br2kb/p2q1p1p/1p4pB/2nP1N2/2p5/2P5/P1BQ1PPP/3R1RK1 b - - 0 1	1/2-1/2	Mikhalchishin, A.	Lukacs, P.	Spartakus - Trud 37/524
1.000	3.000	1.000	1.000	2.000	nog7	no	yes	no	no	same	0.000	yes	3r4/pq3k1p/1p1r2p1/5PQ1/2p5/2P5/P6P/4RRK1 b - - 0 1	1/2-1/2	Mikhalchishin, A.	Lukacs, P.	Spartakus - Trud 37/524
2.000	3.000	0.000	0.000	2.000	nog7_bishop	no	no	no	no	same	1.000	yes	r2q4/p4pk1/1p2rn1p/2n3p1/3B4/6N1/PP4PP/R2Q1R1K b - - 0 1	1-0	Fedorowicz, J.	Cserna, L.	Lugano 38/107
3.000	4.000	0.000	0.000	2.000	nog7_bishop	no	no	no	no	same	1.000	yes	r2q2k1/p4p2/1p1nrn1p/6p1/3B4/5QN1/PP4PP/R4R1K b - - 0 1	1-0	Fedorowicz, J.	Cserna, L.	Lugano 38/107
3.000	4.000	2.000	1.000	2.000	g7	yes	yes	no	no	same	0.000	yes	5r1k/3R1pp1/p3pN1n/4P2Q/5P2/2P4P/qr4P1/6RK b - - 0 1	1/2-1/2	Bergstrom, Ch	Ghinda, M.-V.	Hamburg 38/234
